cell_id,UMAP_1,UMAP_2,leiden,treatment_group,perturbation,dose_value,percent_mito,ngenes,cell_line,disease
C04_B02_RT_533,1.1661576,5.99887,1,BMS,BMS,50.0,8.166969,787,A549,lung adenocarcinoma
C04_B02_RT_589,6.7505326,0.4223547,0,BMS,BMS,50.0,9.842632,5131,A549,lung adenocarcinoma
C04_B02_RT_617,0.4104776,5.9064803,1,BMS,BMS,100.0,9.944445,1122,A549,lung adenocarcinoma
C04_B02_RT_653,8.332225,-2.328408,0,BMS,BMS,10.0,10.610329,664,A549,lung adenocarcinoma
C05_A01_RT_402,8.934407,-1.0864162,0,BMS,BMS,10.0,10.446602,1514,A549,lung adenocarcinoma
C05_A01_RT_530,7.7085624,1.4816084,0,BMS,BMS,50.0,6.4509306,5135,A549,lung adenocarcinoma
C05_A01_RT_635,0.27007034,8.722802,1,BMS,BMS,50.0,3.4816248,781,A549,lung adenocarcinoma
C05_B02_RT_431,9.228499,-1.8005849,0,BMS,BMS,10.0,13.313275,1442,A549,lung adenocarcinoma
C05_B02_RT_617,-0.98432815,7.4669065,1,BMS,BMS,100.0,9.722222,1263,A549,lung adenocarcinoma
C05_B02_RT_624,-0.7559972,9.3950205,1,BMS,BMS,50.0,3.7554586,814,A549,lung adenocarcinoma
C06_A01_RT_631,9.294699,-2.31523,0,BMS,BMS,10.0,13.619886,1118,A549,lung adenocarcinoma
C06_B02_RT_502,-0.8575866,9.5739355,1,BMS,BMS,10.0,4.6153846,972,A549,lung adenocarcinoma
C06_B02_RT_622,9.052839,-1.2504684,0,BMS,BMS,10.0,8.002092,1227,A549,lung adenocarcinoma
C06_B02_RT_711,0.8747831,9.487282,1,BMS,BMS,100.0,6.54588,1175,A549,lung adenocarcinoma
C06_B02_RT_752,0.58200866,6.9839563,1,BMS,BMS,50.0,4.009623,894,A549,lung adenocarcinoma
C07_A01_RT_407,8.329637,-2.0245633,0,BMS,BMS,10.0,7.4571214,882,A549,lung adenocarcinoma
C07_A01_RT_493,9.300289,-2.7019918,0,BMS,BMS,10.0,15.323854,744,A549,lung adenocarcinoma
C07_A01_RT_516,8.469797,-1.2613871,0,BMS,BMS,10.0,11.172414,997,A549,lung adenocarcinoma
C07_B02_RT_594,8.857738,-1.4789653,0,BMS,BMS,10.0,10.474205,1139,A549,lung adenocarcinoma
C07_B02_RT_711,1.6457231,7.9763846,1,BMS,BMS,100.0,6.298077,1360,A549,lung adenocarcinoma
C07_B02_RT_755,9.582993,-2.6804423,0,BMS,BMS,10.0,10.257788,1046,A549,lung adenocarcinoma
C07_B02_RT_763,9.230761,-1.6214228,0,BMS,BMS,10.0,14.891737,1191,A549,lung adenocarcinoma
C08_A01_RT_489,8.568645,-1.5266472,0,BMS,BMS,10.0,11.314396,1251,A549,lung adenocarcinoma
C08_A01_RT_617,0.1605868,5.9217443,1,BMS,BMS,10.0,8.762887,1052,A549,lung adenocarcinoma
C08_A01_RT_638,8.773897,-2.697128,0,BMS,BMS,10.0,9.228188,729,A549,lung adenocarcinoma
C08_B02_RT_393,-0.2697643,6.303318,1,BMS,BMS,100.0,4.892513,911,A549,lung adenocarcinoma
C08_B02_RT_457,-0.48874214,9.830377,1,BMS,BMS,100.0,2.748815,786,A549,lung adenocarcinoma
C08_B02_RT_526,9.069337,-2.3156853,0,BMS,BMS,10.0,5.345096,1179,A549,lung adenocarcinoma
C09_A01_RT_489,3.8578792,5.691995,0,BMS,BMS,100.0,4.2666907,5308,A549,lung adenocarcinoma
C09_B02_RT_484,8.817409,-1.697163,0,BMS,BMS,10.0,10.307017,1412,A549,lung adenocarcinoma
C09_B02_RT_647,9.422366,-2.3007667,0,BMS,BMS,10.0,9.463414,659,A549,lung adenocarcinoma
C09_B02_RT_707,1.0863292,7.299021,1,BMS,BMS,50.0,2.1650088,1143,A549,lung adenocarcinoma
C09_B02_RT_727,7.83435,1.701745,0,BMS,BMS,10.0,7.583774,3688,A549,lung adenocarcinoma
C09_B02_RT_743,4.297321,-0.20483094,3,BMS,BMS,50.0,12.352626,1974,A549,lung adenocarcinoma
C10_A01_RT_763,8.563831,-0.10815755,0,BMS,BMS,10.0,13.864927,2482,A549,lung adenocarcinoma
C10_B02_RT_424,0.78167176,7.3315706,1,BMS,BMS,50.0,3.3740547,1206,A549,lung adenocarcinoma
C10_B02_RT_530,9.737616,-2.0914161,0,BMS,BMS,10.0,5.1757812,1230,A549,lung adenocarcinoma
C10_B02_RT_583,4.1740046,-0.68410105,3,BMS,BMS,10.0,13.711837,1181,A549,lung adenocarcinoma
C10_B02_RT_752,-0.3400481,6.31355,1,BMS,BMS,50.0,4.897596,815,A549,lung adenocarcinoma
C11_A01_RT_450,9.092198,6.9376097,2,BMS,BMS,10.0,6.655031,7252,A549,lung adenocarcinoma
