group,names,scores,logfoldchanges,pvals,pvals_adj
0,NFKBIZ,3.5956233,,0.0003236159994124215,0.0023708131825085823
0,PLK2,3.5488105,,0.00038697553697936653,0.0027940471984069784
0,VPS13C,3.5468645,,0.000389844992946523,0.002804640237025345
0,YME1L1,3.5242255,,0.0004247226632761457,0.003033733309115326
0,TMEM243,3.4841206,,0.0004937568541365777,0.0034649603799058086
0,ADM,3.476163,,0.0005086430998761139,0.0035569447543784194
0,ITPR1,3.4539194,,0.0005525024278704316,0.0038501911349855867
0,CMTM7,3.4225476,,0.0006203726172203891,0.004308143175141591
0,DDX3Y,3.3928208,,0.0006917686053122477,0.004770817967670675
0,KMT2E,3.338351,,0.0008427719297587073,0.005792246939922387
0,HLA-DQA1,3.2934842,,0.0009895386922448382,0.0067315557295567225
0,FOSB,3.2554202,,0.0011322466746176395,0.0075989709705881845
0,PTX3,3.2386348,,0.0012010324436748981,0.008033661830601325
0,ARAP2,3.2276711,,0.001248023147096132,0.008320154313974213
0,HLA-DMB,3.1989887,,0.001379105352721784,0.009163490715759361
0,IL3RA,3.1829627,,0.001457764067119379,0.00965406666966476
0,UBE2H,3.0333962,,0.002418178938602379,0.01565164361554938
0,LDB2,2.975525,,0.002924875048677969,0.018809485843588228
0,NR4A1,2.8936226,,0.0038082563098959374,0.024179405142196426
0,LITAF,2.8614912,,0.004216531545772983,0.026519066325616247
0,JUNB,2.7873724,,0.005313736645322474,0.03310739342880046
0,H2BC5,2.7809968,,0.005419226801765136,0.033659793799783455
0,MAML2,2.7436447,,0.0060761253308300655,0.03739154049741579
0,CYTH4,2.705723,,0.006815584065632986,0.04168552945341276
0,CXCL2,2.7034292,,0.00686280704931464,0.04184638444704049
0,ARID1B,2.688906,,0.0071686599690965755,0.04357848005529833
0,LPGAT1,2.6790183,,0.0073838372562991745,0.044750528826055604
0,SBF2,2.6728642,,0.007520671490450237,0.04544212380936699
0,DOK2,2.6451466,,0.008165551639462608,0.04904235218896461
0,FOXO1,2.632269,,0.00848167230456524,0.05078845691356431
0,ST3GAL5,2.5968785,,0.009407519758462443,0.05558856330979599
0,LPIN2,2.5803618,,0.009869681054695803,0.05771743306839651
0,TUBA4A,2.536223,,0.011205538359500535,0.06514847883430544
0,TSC22D3,2.5333753,,0.011296995205917364,0.06548982728068037
0,PDE4B,2.5235507,,0.011617629743171261,0.0667679870297199
0,PLD4,2.4838097,,0.012998522467455342,0.07364601964563934
0,TIFA,2.4364908,,0.014830545785571948,0.08285221109258072
0,PIK3CG,2.4255748,,0.015284169265070915,0.0849120514726162
0,MANEA-DT,2.4135354,,0.015798594941533187,0.0875268417813473
0,FGD5,2.396481,,0.016553355347638434,0.09120305976660295
0,ENSG00000278002,2.3869095,,0.016990670946945556,0.09284519643139648
0,EIF1AY,2.3447163,,0.01904155581546981,0.10292732873226926
0,NCOA3,2.2862282,,0.022240909389603932,0.11861818341122098
0,ENSG00000276900,2.273904,,0.02297175221878834,0.12186605951611851
0,CBLB,2.2688575,,0.02327699942223428,0.12315872710176867
0,ANKRD28,2.2519927,,0.024322727028007553,0.12734412056548458
0,DOCK10,2.239099,,0.025149466375218633,0.13132880613691192
0,ZBTB20,2.172242,,0.029837418813017495,0.15380112790215203
0,ALDH1A1,2.0592523,,0.039470072918314315,0.19884167717034917
0,BTN2A2,2.05699,,0.03968718759076599,0.1989332711316591
0,ZNF793,2.0396507,,0.04138511900015953,0.20640957107311486
0,ENSG00000272426,2.0131042,,0.04410368012961688,0.21727590252897225
0,PIK3C2B,2.0076618,,0.04467923655136147,0.2184803743342859
